pinyin,kana
zha,ヂャア
zhai,ヂャイ
zhan,ヂャン
zhang,ﾁﾞｬｱﾝ
zhao,ヂャオ
zhe,ヂョァ
zhei,ヂェイ
zhen,ヂェン
zheng,ヂョン
zhi,ヂー
zhong,ヂォン
zhou,ヂョウ
zhu,ヂュウ
zhua,ヂュワ
zhuai,ﾁﾞｭﾜｲ
zhuan,ﾁﾞｭﾜﾝ
zhuang,ﾁﾞｭｱﾝ
zhui,ヂュイ
zhun,ヂュン
zhuo,ヂュオ
zi,ヅー
zong,ヅォン
zou,ヅォウ
zu,ヅゥ
zuan,ヅワン
zui,ヅゥイ
zun,ヅン
zuo,ヅゥオ
